platform,content,score,user,time,song_id,clean_content,words,word_count,sentiment_label,sentiment_prob,sentiment_text,entities,person_entities,location_entities,organization_entities,product_entities,keywords,keyword_list,is_long,summary,topic_0,topic_1,topic_2,topic_3,topic_4,dominant_topic,aspect_results,aspect_晚安,aspect_时候,aspect_朋友,aspect_世界,aspect_我会,aspect_感觉,aspect_流泪,aspect_首歌,aspect_我爱你,aspect_爱心
网易云音乐,实际上是做朋友也同样内耗，除非后来不喜欢了,1,psz_987,2025-04-24 22:44:21,1359356908,实际上是做朋友也同样内耗，除非后来不喜欢了,"['实际上', '朋友', '同样', '内耗', '除非', '后来', '喜欢']",7,2,0.4680486619472503,正面,"[('，', 'OTHER', 12, 13), ('后来', 'TIME', 15, 17)]",[],[],[],[],"[('内耗', 3.6349817928), ('朋友', 1.9490361609466669), ('喜欢', 1.9008628010066666)]","['内耗', '朋友', '喜欢']",False,,0.0,0.0,0.0,0.0,0.0,0,"[('朋友', '中性', 0.0, '实际上是做朋友也同样内耗', []), ('内耗', '中性', 0.0, '朋友也同样内耗，除非后来', [])]",无,无,中性,无,无,无,无,无,无,无
网易云音乐,"这个世界除了我自己我没有依靠了

我总拿离开试探爱以为你不会放开我的手

那些你刺痛我的事我连你一起丢掉

委屈就像刺扎在心里拔不出来又疼得厉害

想哭的时候最想念的还是你

",1,FailureLMR,2025-04-24 22:44:04,1359356908,这个世界除了我自己我没有依靠了 我总拿离开试探爱以为你不会放开我的手 那些你刺痛我的事我连你一起丢掉 委屈就像刺扎在心里拔不出来又疼得厉害 想哭的时候最想念的还是你,"['这个', '世界', '除了', '依靠', '离开', '试探', '以为', '不会', '放开', '那些', '刺痛', '一起', '丢掉', '委屈', '刺扎', '心里', '出来', '厉害', '时候', '想念']",20,2,0.5127893090248108,正面,"[(' ', 'OTHER', 15, 16), (' ', 'OTHER', 34, 35), (' ', 'OTHER', 50, 51), (' ', 'OTHER', 69, 70)]",[],[],[],[],"[('刺扎', 0.85347102422), ('想哭', 0.7969845001933333), ('刺痛', 0.608666201834), ('想念', 0.59401633768), ('丢掉', 0.585114244838), ('试探', 0.5411234979766667), ('放开', 0.5114777765586667), ('委屈', 0.5071505582086666), ('依靠', 0.42072240931933336), ('离开', 0.36405317091066663), ('不会', 0.294114745304), ('出来', 0.29127975025333336), ('世界', 0.291168627038), ('时候', 0.28591642222933333), ('没有', 0.20752157101)]","['刺扎', '想哭', '刺痛', '想念', '丢掉', '试探', '放开', '委屈', '依靠', '离开', '不会', '出来', '世界', '时候', '没有']",False,,0.0,0.0,0.0,0.0,0.0,0,"[('世界', '中性', 0.0, '这个世界除了我自己', []), ('时候', '中性', 0.0, '害 想哭的时候最想念的还', [])]",无,中性,无,中性,无,无,无,无,无,无
网易云音乐,生着病发烧。身上一点钱都没有了。才开始工作，工资也还没有支出来 快两天都没吃什么了   一个人躺在出租屋里好无力  感觉自己快坚持不下去了  我能讨碗饭吃吗…,1,还没吃柠檬a,2025-04-24 22:43:25,1359356908,生着病发烧。身上一点钱都没有了。才开始工作，工资也还没有支出来 快两天都没吃什么了 一个人躺在出租屋里好无力 感觉自己快坚持不下去了 我能讨碗饭吃吗,"['生着', '发烧', '身上', '一点', '开始', '工作', '工资', '支出', '两天', '出租', '屋里', '无力', '感觉', '坚持', '下去', '我能', '碗饭']",17,2,0.5691059231758118,正面,"[('。', 'OTHER', 5, 6), ('。', 'OTHER', 15, 16), ('，', 'OTHER', 21, 22), (' ', 'OTHER', 31, 32), (' ', 'OTHER', 41, 42), (' ', 'OTHER', 54, 55), ('下去', 'TIME', 63, 65), (' ', 'OTHER', 66, 67)]",[],[],[],[],"[('碗饭', 0.8229438301033333), ('发烧', 0.7207003519941666), ('出租', 0.6937273790691667), ('无力', 0.5979703341508333), ('支出', 0.564348475525), ('工资', 0.5322473670116666), ('没有', 0.5188039275249999), ('坚持', 0.4845479263591667), ('感觉', 0.47012319077583337), ('工作', 0.35022827852916666), ('开始', 0.32041892567)]","['碗饭', '发烧', '出租', '无力', '支出', '工资', '没有', '坚持', '感觉', '工作', '开始']",False,,0.0,0.0,0.0,0.0,0.0,0,"[('无力', '正面', 0.3333333333333333, '出租屋里好无力 感觉自己', [('好', 1.0)]), ('感觉', '正面', 0.3333333333333333, '里好无力 感觉自己快坚持', [('好', 1.0)]), ('碗饭', '中性', 0.0, '了 我能讨碗饭吃吗', [])]",无,无,无,无,无,正面,无,无,无,无
网易云音乐,替你们试过了，能做朋友就别做恋人，尽管认识很久了，千万别，如果我们没有分手的话，现在是我们的第190天，如果当时我没有同意表白的话，我们还是朋友,1,情不知所琪,2025-04-24 22:41:46,1359356908,替你们试过了，能做朋友就别做恋人，尽管认识很久了，千万别，如果我们没有分手的话，现在是我们的第天，如果当时我没有同意表白的话，我们还是朋友,"['你们', '试过', '朋友', '就别', '恋人', '尽管', '认识', '很久', '千万别', '我们', '分手', '的话', '现在', '我们', '第天', '当时', '同意', '表白', '的话', '我们', '朋友']",21,2,0.4765805006027221,正面,"[('，', 'OTHER', 6, 7), ('，', 'OTHER', 16, 17), ('，', 'OTHER', 24, 25), ('，', 'OTHER', 28, 29), ('，', 'OTHER', 39, 40), ('现在', 'TIME', 40, 42), ('，', 'OTHER', 48, 49), ('当时', 'TIME', 51, 53), ('，', 'OTHER', 62, 63)]",[],[],[],[],"[('朋友', 1.2993574406311112), ('试过', 1.1914026468444443), ('恋人', 1.0483077259244444), ('表白', 1.0144436697233334), ('分手', 0.8939561921966666), ('没有', 0.6917385700333333), ('认识', 0.6310519508944444)]","['朋友', '试过', '恋人', '表白', '分手', '没有', '认识']",False,,0.0,0.0,0.0,0.0,0.0,0,"[('朋友', '中性', 0.0, '过了，能做朋友就别做恋人', []), ('恋人', '中性', 0.0, '朋友就别做恋人，尽管认识', []), ('朋友', '中性', 0.0, '过了，能做朋友就别做恋人', [])]",无,无,中性,无,无,无,无,无,无,无
网易云音乐,我想把这个空房间画满鲜花，可是我没有颜料和笔，我也不会画花。,1,司图南aid,2025-04-24 22:41:12,1359356908,我想把这个空房间画满鲜花，可是我没有颜料和笔，我也不会画花。,"['这个', '空房间', '满鲜花', '颜料', '不会', '画花']",6,2,0.4941524863243103,正面,"[('满鲜花', 'OTHER', 9, 12), ('，', 'OTHER', 12, 13), ('，', 'OTHER', 22, 23), ('。', 'OTHER', 29, 30)]",[],[],[],[],"[('空房间', 2.42178363654), ('画花', 2.39095350058), ('颜料', 1.779346269206), ('不会', 0.882344235912), ('没有', 0.6225647130299999)]","['空房间', '画花', '颜料', '不会', '没有']",False,,0.0,0.0,0.0,0.0,0.0,0,"[('空房间', '中性', 0.0, '我想把这个空房间画满鲜花，', []), ('满鲜花', '中性', 0.0, '个空房间画满鲜花，可是我没', []), ('颜料', '中性', 0.0, '可是我没有颜料和笔，我也', []), ('画花', '中性', 0.0, '，我也不会画花。', [])]",无,无,无,无,无,无,无,无,无,无
网易云音乐,晚安,1,Music-Otter,2025-04-24 22:40:58,1359356908,晚安,['晚安'],1,2,0.4150713980197906,正面,[],[],[],[],[],"[('晚安', 11.2616203224)]",['晚安'],False,,0.0,0.0,0.0,0.0,0.0,0,"[('晚安', '中性', 0.0, '晚安', [])]",中性,无,无,无,无,无,无,无,无,无
网易云音乐,4.24和对象闹矛盾，哭的很伤心，她给我发了一起听，听完和我说了晚安，是我不够成熟稳重不够优秀，才让她这么难受 ，我恨自己不争气，看到的无论什么时间都提醒我看一遍让我争气一点，让她过上好日子,1,爱佳欣不伤心,2025-04-24 22:39:40,1359356908,和对象闹矛盾，哭的很伤心，她给我发了一起听，听完和我说了晚安，是我不够成熟稳重不够优秀，才让她这么难受 ，我恨自己不争气，看到的无论什么时间都提醒我看一遍让我争气一点，让她过上好日子,"['对象', '闹矛盾', '伤心', '给我发', '一起', '晚安', '不够', '成熟', '稳重', '不够', '优秀', '这么', '难受', '不争气', '看到', '无论', '时间', '提醒', '看一遍', '争气', '一点', '好日子']",22,2,0.5846855640411377,正面,"[('，', 'OTHER', 6, 7), ('，', 'OTHER', 12, 13), ('，', 'OTHER', 21, 22), ('，', 'OTHER', 30, 31), ('，', 'OTHER', 43, 44), (' ', 'OTHER', 51, 52), ('，', 'OTHER', 52, 53), ('，', 'OTHER', 60, 61), ('，', 'OTHER', 83, 84), ('过上', 'TIME', 86, 88)]",[],[],[],[],"[('不够', 0.9286668764014285), ('听完', 0.8539119644928571), ('晚安', 0.8044014516000001), ('给我发', 0.79053316485), ('看一遍', 0.7369399081071428), ('争气', 0.7134753318964285), ('不争气', 0.7004523635535714), ('难受', 0.5510335020057143), ('伤心', 0.5335247550028571), ('提醒', 0.45146344528785715), ('对象', 0.42135626241999996), ('看到', 0.34748640870357145), ('时间', 0.29139568803285715)]","['不够', '听完', '晚安', '给我发', '看一遍', '争气', '不争气', '难受', '伤心', '提醒', '对象', '看到', '时间']",False,,0.0,0.0,0.0,0.0,0.0,0,"[('对象', '中性', 0.0, '和对象闹矛盾，哭', []), ('闹矛盾', '中性', 0.0, '和对象闹矛盾，哭的很伤', []), ('伤心', '中性', 0.0, '盾，哭的很伤心，她给我发', []), ('给我发', '中性', 0.0, '很伤心，她给我发了一起听，', []), ('晚安', '中性', 0.0, '完和我说了晚安，是我不够', []), ('不争气', '中性', 0.0, '，我恨自己不争气，看到的无', []), ('时间', '中性', 0.0, '的无论什么时间都提醒我看', []), ('争气', '中性', 0.0, '我恨自己不争气，看到的无', []), ('好日子', '中性', 0.0, '，让她过上好日子', [])]",中性,无,无,无,无,无,无,无,无,无
网易云音乐,胡海威 晚安,1,爱暄小天才,2025-04-24 22:37:01,1359356908,胡海威 晚安,"['胡海威', '晚安']",2,1,0.4039324820041656,中性,"[('胡海威', 'PERSON', 0, 3), (' ', 'OTHER', 3, 4)]",['胡海威'],[],[],[],"[('晚安', 11.2616203224)]",['晚安'],False,,0.0,0.0,0.0,0.0,0.0,0,"[('胡海威', '中性', 0.0, '胡海威 晚安', []), ('晚安', '中性', 0.0, '胡海威 晚安', [])]",中性,无,无,无,无,无,无,无,无,无
网易云音乐,你要放下对完美伴侣的期待  学会去爱一个普通又具体的人  互相迁就才更长远   双向奔赴才有意义   这个世界上没有本来就般配的两个人  而是一个懂得包容和迁就   另一个懂得，适可而止  表白是表明心意  而不是索取关系  公开专一不暧昧  这是爱的一个基本项不是加分项,1,再吃一口鲷鱼烧z,2025-04-24 22:33:29,1359356908,你要放下对完美伴侣的期待 学会去爱一个普通又具体的人 互相迁就才更长远 双向奔赴才有意义 这个世界上没有本来就般配的两个人 而是一个懂得包容和迁就 另一个懂得，适可而止 表白是表明心意 而不是索取关系 公开专一不暧昧 这是爱的一个基本项不是加分项,"['放下', '完美', '伴侣', '期待', '学会', '普通', '具体', '互相', '迁就', '长远', '双向', '奔赴', '意义', '这个', '世界', '本来', '般配', '两个', '而是', '懂得', '包容', '迁就', '懂得', '适可而止', '表白', '表明', '心意', '不是', '索取', '关系', '公开', '专一', '暧昧', '基本', '不是', '分项']",36,2,0.5770502090454102,正面,"[(' ', 'OTHER', 12, 13), ('普通', 'OTHER', 19, 21), (' ', 'OTHER', 26, 27), (' ', 'OTHER', 35, 36), (' ', 'OTHER', 44, 45), ('本来', 'TIME', 52, 54), (' ', 'OTHER', 61, 62), (' ', 'OTHER', 73, 74), ('，', 'OTHER', 79, 80), (' ', 'OTHER', 84, 85), (' ', 'OTHER', 92, 93), (' ', 'OTHER', 100, 101), (' ', 'OTHER', 108, 109)]",[],[],[],[],"[('迁就', 0.956994431169), ('懂得', 0.699693039439), ('伴侣', 0.47116704187499997), ('包容', 0.47004339908250004), ('奔赴', 0.46046648848749994), ('表白', 0.4564996513755), ('索取', 0.448671198341), ('双向', 0.42558029610799997), ('心意', 0.408205267725), ('学会', 0.337538040792), ('期待', 0.335462416097), ('放下', 0.33045107213999997), ('表明', 0.280922379434), ('意义', 0.279995034556), ('基本', 0.240057855755), ('关系', 0.236777193642), ('世界', 0.2183764702785), ('没有', 0.15564117825749998)]","['迁就', '懂得', '伴侣', '包容', '奔赴', '表白', '索取', '双向', '心意', '学会', '期待', '放下', '表明', '意义', '基本', '关系', '世界', '没有']",True,你要放下对完美伴侣的期待 学会去爱一个普通又具体的人 互相迁就才更长远 双向奔赴才有意义 这个世界上没有本来就般配的两个人 而是一个懂得包容和迁就 另一个懂得，适可而止 表白是表明心意 而不是索取关系 公开专一不暧昧 这是爱的一个基本项不是加分项。,0.0,0.0,0.0,0.0,0.0,0,"[('伴侣', '正面', 0.3333333333333333, '放下对完美伴侣的期待 学', [('完美', 1.0)]), ('学会', '中性', 0.0, '侣的期待 学会去爱一个普', []), ('普通', '中性', 0.0, '会去爱一个普通又具体的人', []), ('双向', '中性', 0.0, '才更长远 双向奔赴才有意', []), ('意义', '中性', 0.0, '向奔赴才有意义 这个世界', []), ('世界', '中性', 0.0, '意义 这个世界上没有本来', []), ('心意', '中性', 0.0, '表白是表明心意 而不是索', []), ('关系', '中性', 0.0, '而不是索取关系 公开专一', []), ('基本', '中性', 0.0, '是爱的一个基本项不是加分', [])]",无,无,无,中性,无,无,无,无,无,无
网易云音乐,来了,1,雨巷_nR7i,2025-04-24 22:30:19,1359356908,来了,[],0,2,0.4005726873874664,正面,[],[],[],[],[],[],[],False,,0.0,0.0,0.0,0.0,0.0,0,[],无,无,无,无,无,无,无,无,无,无
网易云音乐,晚安,1,她有胃病也爱哭_,2025-04-24 22:29:45,1359356908,晚安,['晚安'],1,2,0.4150713980197906,正面,[],[],[],[],[],"[('晚安', 11.2616203224)]",['晚安'],False,,0.0,0.0,0.0,0.0,0.0,0,"[('晚安', '中性', 0.0, '晚安', [])]",中性,无,无,无,无,无,无,无,无,无
网易云音乐,z我想听你说一句晚安,1,长腿妹妹阿,2025-04-24 22:18:52,1359356908,z我想听你说一句晚安,"['一句', '晚安']",2,1,0.4176356494426727,中性,[],[],[],[],[],"[('晚安', 11.2616203224)]",['晚安'],False,,0.0,0.0,0.0,0.0,0.0,0,"[('晚安', '中性', 0.0, '听你说一句晚安', [])]",中性,无,无,无,无,无,无,无,无,无
网易云音乐,喜欢听这首歌的人一定很喜欢听这首歌吧,1,Gr1y_dust,2025-04-24 22:13:00,1359356908,喜欢听这首歌的人一定很喜欢听这首歌吧,"['喜欢', '首歌', '一定', '喜欢', '首歌']",5,2,0.51434326171875,正面,[],[],[],[],[],"[('首歌', 5.3613119108), ('喜欢', 2.85129420151)]","['首歌', '喜欢']",False,,0.0,0.0,0.0,0.0,0.0,0,"[('首歌', '正面', 0.3333333333333333, '喜欢听这首歌的人一定很', [('喜欢', 1.0)]), ('首歌', '正面', 0.3333333333333333, '喜欢听这首歌的人一定很', [('喜欢', 1.0)])]",无,无,无,无,无,无,无,正面,无,无
网易云音乐,努力抓紧每一段珍贵的关系 直到再也抓不住,1,小羊_QvQ,2025-04-24 22:11:21,1359356908,努力抓紧每一段珍贵的关系 直到再也抓不住,"['努力', '抓紧', '一段', '珍贵', '关系', '直到', '再也', '抓不住']",8,2,0.4137305319309234,正面,"[(' ', 'OTHER', 12, 13)]",[],[],[],[],"[('抓不住', 2.52350379055), ('抓紧', 2.0568385962), ('直到', 1.419531003395), ('关系', 1.18388596821)]","['抓不住', '抓紧', '直到', '关系']",False,,0.0,0.0,0.0,0.0,0.0,0,"[('关系', '中性', 0.0, '一段珍贵的关系 直到再也', [])]",无,无,无,无,无,无,无,无,无,无
网易云音乐,我愿意做那个引导性恋人(>^ω^<),1,iouTuT,2025-04-24 22:09:28,1359356908,我愿意做那个引导性恋人ω,"['愿意', '那个', '引导性', '恋人']",4,2,0.4477395415306091,正面,"[('ω', 'OTHER', 11, 12)]",[],[],[],[],"[('引导性', 4.097079913166667), ('恋人', 3.1449231777733337), ('愿意', 1.9672234795766668)]","['引导性', '恋人', '愿意']",False,,0.0,0.0,0.0,0.0,0.0,0,"[('引导性', '中性', 0.0, '愿意做那个引导性恋人ω', []), ('恋人', '中性', 0.0, '那个引导性恋人ω', [])]",无,无,无,无,无,无,无,无,无,无
网易云音乐,我还是会晚睡，唯独少了你的晚安,1,xin今天快乐了吗,2025-04-24 22:04:20,1359356908,我还是会晚睡，唯独少了你的晚安,"['晚睡', '唯独', '晚安']",3,1,0.4079749584197998,中性,"[('，', 'OTHER', 6, 7)]",[],[],[],[],"[('晚睡', 5.97738375145), ('晚安', 5.6308101612)]","['晚睡', '晚安']",False,,0.0,0.0,0.0,0.0,0.0,0,"[('晚安', '中性', 0.0, '独少了你的晚安', [])]",中性,无,无,无,无,无,无,无,无,无
网易云音乐,我好想你 晚安,1,留恋心绪,2025-04-24 22:03:45,1359356908,我好想你 晚安,"['好想你', '晚安']",2,1,0.3987514674663543,中性,"[(' ', 'OTHER', 4, 5)]",[],[],[],[],"[('晚安', 11.2616203224)]",['晚安'],False,,0.0,0.0,0.0,0.0,0.0,0,"[('好想你', '中性', 0.0, '我好想你 晚安', []), ('晚安', '中性', 0.0, '我好想你 晚安', [])]",中性,无,无,无,无,无,无,无,无,无
